NewHouseID,ServiceCentre,Region,Weather
CFHA-Portfolio-1134,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1135,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1136,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1137,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1138,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1139,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1140,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1141,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1142,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1143,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1144,Ottawa,ONTARIO,OTTAWA
CFHA-Proxy-1145,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Proxy-1146,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1147,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1148,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1149,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1150,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1151,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1152,Gander,NEWFOUNDLAND AND LABRADOR,GANDER
CFHA-Portfolio-1153,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1154,Shilo,MANITOBA,BRANDON
CFHA-Proxy-1155,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1156,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1157,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1158,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1159,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1160,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1161,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1162,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1163,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1164,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1165,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1166,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Proxy-1167,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Proxy-1168,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1169,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1170,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1171,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1172,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1173,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1174,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1175,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1176,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1177,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1178,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1179,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1180,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1181,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1182,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1183,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1184,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1185,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1186,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1187,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1188,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1189,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1190,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1191,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1192,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1193,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1194,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1195,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1196,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1197,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1198,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1199,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1200,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1201,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1202,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1203,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1204,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1205,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1206,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1207,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1208,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1209,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1210,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1211,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1212,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1213,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1214,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1215,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1216,Shilo,MANITOBA,BRANDON
CFHA-Portfolio-1217,Shilo,MANITOBA,BRANDON
CFHA-Proxy-1218,Shilo,MANITOBA,BRANDON
CFHA-Proxy-1219,Winnipeg,MANITOBA,WINNIPEG
CFHA-Portfolio-1220,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1221,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1222,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1223,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1224,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1225,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1226,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1227,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Portfolio-1228,Yellowknife,NORTHWEST TERRITORIES,YELLOWKNIFE
CFHA-Portfolio-1229,Yellowknife,NORTHWEST TERRITORIES,YELLOWKNIFE
CFHA-Portfolio-1230,Yellowknife,NORTHWEST TERRITORIES,YELLOWKNIFE
CFHA-Proxy-1231,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1232,Suffield,ALBERTA,SUFFIELD
CFHA-Proxy-1233,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Portfolio-1234,Edmonton,ALBERTA,EDMONTON
CFHA-Portfolio-1235,Edmonton,ALBERTA,EDMONTON
CFHA-Portfolio-1236,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1237,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Proxy-1238,Suffield,ALBERTA,SUFFIELD
CFHA-Proxy-1239,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Proxy-1240,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Proxy-1241,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1242,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Proxy-1243,Suffield,ALBERTA,SUFFIELD
CFHA-Proxy-1244,Comox,BRITISH COLUMBIA,COMOX
CFHA-Proxy-1245,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Proxy-1246,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Proxy-1247,Montreal,QUEBEC,MONTREAL
CFHA-Proxy-1248,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Proxy-1249,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Proxy-1250,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1251,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1252,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1253,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1254,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1255,Kingston,ONTARIO,KINGSTON
CFHA-Portfolio-1256,Kingston,ONTARIO,KINGSTON
CFHA-Portfolio-1257,Kingston,ONTARIO,KINGSTON
CFHA-Portfolio-1258,Kingston,ONTARIO,KINGSTON
CFHA-Proxy-1259,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1260,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1261,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Proxy-1262,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1263,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1264,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1265,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1266,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Portfolio-1267,Halifax,NOVA SCOTIA,HALIFAX
CFHA-Proxy-1268,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1269,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1270,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1271,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1272,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1273,Trenton,ONTARIO,TRENTON
CFHA-Portfolio-1274,Trenton,ONTARIO,TRENTON
CFHA-Portfolio-1275,Trenton,ONTARIO,TRENTON
CFHA-Portfolio-1276,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1277,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1278,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1279,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1280,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1281,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1282,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1283,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1284,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1285,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1286,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1287,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1288,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1289,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1290,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1291,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1292,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1293,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1294,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1295,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1296,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1297,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1298,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1299,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1300,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1301,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1302,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1303,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1304,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1305,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1306,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1307,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1308,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1309,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1310,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1311,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1312,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1313,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1314,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1315,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1316,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1317,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Proxy-1318,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Proxy-1319,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1320,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1321,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1322,Comox,BRITISH COLUMBIA,COMOX
CFHA-Proxy-1323,Comox,BRITISH COLUMBIA,COMOX
CFHA-Proxy-1324,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1325,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1326,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1327,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1328,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1329,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1330,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1331,Bagotville,QUEBEC,BAGOTVILLE
CFHA-Portfolio-1332,Winnipeg,MANITOBA,WINNIPEG
CFHA-Portfolio-1333,Winnipeg,MANITOBA,WINNIPEG
CFHA-Portfolio-1334,Winnipeg,MANITOBA,WINNIPEG
CFHA-Portfolio-1335,Winnipeg,MANITOBA,WINNIPEG
CFHA-Portfolio-1336,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Portfolio-1337,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Portfolio-1338,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Portfolio-1339,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Portfolio-1340,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Proxy-1341,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1342,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1343,Valcartier,QUEBEC,QUEBEC
CFHA-Proxy-1344,Suffield,ALBERTA,SUFFIELD
CFHA-Proxy-1345,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1346,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1347,Edmonton,ALBERTA,EDMONTON
CFHA-Portfolio-1348,Edmonton,ALBERTA,EDMONTON
CFHA-Portfolio-1349,Edmonton,ALBERTA,EDMONTON
CFHA-Portfolio-1350,Edmonton,ALBERTA,EDMONTON
CFHA-Portfolio-1351,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1352,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1353,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1354,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1355,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1356,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1357,Esquimalt,BRITISH COLUMBIA,VICTORIA
CFHA-Portfolio-1358,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1359,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1360,Petawawa,ONTARIO,OTTAWA
